,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,6,408,13996,9352,4738,1217,.527,.394,.835,34.3,22.9,11.6,3.0,55.8,.191,4.8,23.8
2,2,LAL,D'Angelo Russell,Ohio State,6,359,10400,6328,1287,1910,.421,.360,.771,29.0,17.6,3.6,5.3,10.0,.046,0.4,6.4
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.1,-0.1
4,4,NYK,Kristaps Porziņģis,,5,286,8905,5341,2238,418,.441,.361,.809,31.1,18.7,7.8,1.5,21.5,.116,1.3,7.4
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,6,402,9093,3641,2430,588,.545,.167,.612,22.6,9.1,6.0,1.5,23.1,.122,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,5,300,7176,3296,884,1139,.401,.323,.744,23.9,11.0,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,6,371,7316,2312,1154,532,.375,.298,.761,19.7,6.2,3.1,1.4,4.4,.029,-2.8,-1.5
9,9,CHO,Frank Kaminsky,Wisconsin,6,368,7744,3446,1486,606,.427,.348,.739,21.0,9.4,4.0,1.6,14.4,.089,-0.5,3.0
10,10,MIA,Justise Winslow,Duke,6,267,7355,2359,1413,707,.411,.324,.640,27.5,8.8,5.3,2.6,7.0,.046,-2.1,-0.2
11,11,IND,Myles Turner,Texas,6,389,11144,4945,2582,469,.487,.352,.770,28.6,12.7,6.6,1.2,29.7,.128,0.5,7.1
12,12,UTA,Trey Lyles,Kentucky,6,374,6680,2717,1574,389,.435,.341,.705,17.9,7.3,4.2,1.0,10.9,.079,-1.2,1.3
13,13,PHO,Devin Booker,Kentucky,6,409,13727,9395,1523,1899,.455,.352,.870,33.6,23.0,3.7,4.6,22.3,.078,-0.1,6.4
14,14,OKC,Cameron Payne,Murray State,6,221,3716,1506,449,623,.426,.372,.822,16.8,6.8,2.0,2.8,6.3,.081,-0.7,1.3
15,15,ATL,Kelly Oubre Jr.,Kansas,6,403,10062,4632,1772,400,.433,.326,.764,25.0,11.5,4.4,1.0,14.3,.068,-1.9,0.2
16,16,BOS,Terry Rozier,Louisville,6,404,9980,4631,1551,1183,.410,.376,.814,24.7,11.5,3.8,2.9,18.1,.087,0.3,5.8
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,4,200,3096,1094,607,160,.478,.288,.606,15.5,5.5,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,6,334,7125,2610,1098,1058,.453,.350,.792,21.3,7.8,3.3,3.2,19.2,.129,2.1,7.3
21,21,DAL,Justin Anderson,Virginia,5,226,2964,1182,575,151,.413,.296,.774,13.1,5.2,2.5,0.7,4.6,.074,-1.4,0.5
22,22,CHI,Bobby Portis,Arkansas,6,381,7809,3969,2338,451,.468,.380,.752,20.5,10.4,6.1,1.2,15.6,.096,-0.8,2.3
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,6,382,6828,2175,623,1367,.431,.340,.818,17.9,5.7,1.6,3.6,14.2,.100,0.0,3.5
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,6,350,8487,2889,2329,666,.529,.333,.687,24.2,8.3,6.7,1.9,22.2,.125,1.2,6.8
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,6,285,4282,1230,1154,333,.566,.175,.609,15.0,4.3,4.0,1.2,13.7,.153,-0.8,1.3
